更多白嫖TG群https://t.me/IPTV6799微信hch45hch QQ群 456450672

🎗青橘湾湾频道,#genre#
Discovery探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
GTV八大戏剧台HD,http://61.221.215.25:8800/hls/39/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
SET三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精采HD,http://61.221.215.25:8800/hls/48/index.m3u8
音乐欣赏1,http://61.221.215.25:8800/hls/49/index.m3u8
Discovery探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8
GTV八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8
GTV八大综合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
音乐欣赏2,http://61.221.215.25:8800/hls/58/index.m3u8
CTV中视HD,rtmp://220.130.201.73/sat/tv091
CTS华视HD,rtmp://220.130.201.73/sat/tv111
台视HD,rtmp://220.130.201.73/sat/tv071
民视HD,rtmp://220.130.201.73/sat/tv051
纬来体育HD,rtmp://220.130.201.73/sat/tv721
纬来育乐HD,rtmp://220.130.201.73/sat/tv701
纬来日本HD,rtmp://220.130.201.73/sat/tv771
EBC东森超视HD,rtmp://220.130.201.73/sat/tv331
民视HD,rtmp://f13h.mine.nu/sat/tv051
台视HD,rtmp://f13h.mine.nu/sat/tv071
CTV中视HD,rtmp://f13h.mine.nu/sat/tv091
CTS华视HD,rtmp://f13h.mine.nu/sat/tv111
纬来体育HD,rtmp://f13h.mine.nu/sat/tv721
纬来育乐HD,rtmp://f13h.mine.nu/sat/tv701
纬来日本HD,rtmp://f13h.mine.nu/sat/tv771
EBC东森超视HD,rtmp://f13h.mine.nu/sat/tv331
MoMoTV4K,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
国兴卫视,mitv://generationnexxxt.com:19806/18aaee00d2af442ebb4592e15f7b2a20
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
